Uitrekking (mm);Kracht (N)
1.11339;28884.4
1.12341;28887.5
1.13264;28894.9
1.14301;28904.9
1.1524;28915.7
1.16209;28918.9
1.17295;28917
1.18425;28911.1
1.19568;28906.2
1.20658;28900.9
1.21811;28900.9
1.22973;28899.8
1.24066;28896.1
1.25246;28897.4
1.26314;28909.1
1.27385;28930.3
1.2841;28953.6
1.2955;28970.4
1.30528;28981.8
1.31643;28993.7
1.32634;29009.4
1.33716;29020
1.34899;29024.4
1.35986;29027.3
1.37071;29036.9
1.38029;29050.8
1.39056;29065.4
1.40138;29079.7
1.41119;29097.1
1.42234;29117.3
1.43224;29142.3
1.4425;29167.1
1.45235;29189.5
1.46295;29206.6
1.47273;29221.8
1.48295;29239.2
1.49251;29256.4
1.50233;29265.3
1.51318;29267.4
1.52408;29264.8
1.53465;29255.5
1.54619;29233.1
1.55891;29198
1.57284;29146.8
1.58681;29094
1.59898;29056.3
1.61129;29039.8
1.62251;29032.8
1.63594;29032.4
1.64628;29034.6
1.65879;29039.7
1.67061;29048.6
1.68145;29058.8
1.69275;29067.6
1.70426;29079.8
1.71589;29082.6
1.73063;29058.4
1.74421;29017.3
1.7579;28985.5
1.77134;28970.4
1.78489;28963.7
1.7972;28962.5
1.81069;28964.6
1.82281;28968.2
1.83486;28976.4
1.84684;28984.4
1.85963;28989.1
1.87264;28987.7
1.88609;28977.1
1.90041;28957.5
1.91394;28928.5
1.928;28894.4
1.94209;28851.7
1.95736;28797.2
1.97355;28731.4
1.99001;28669
2.00423;28624.7
2.01916;28600.6
2.03319;28593.6
2.04636;28600.5
2.05926;28620.8
2.0727;28647.9
2.08541;28676.7
2.0981;28700.8
2.11178;28713.4
2.12556;28717.9
2.13983;28720.6
2.15388;28725.3
2.16934;28726.1
2.1833;28724.5
2.19826;28723.3
2.21336;28729.9
2.22819;28743.3
2.24286;28764.4
2.25673;28793.2
2.27059;28829.8
2.2823;28873.2
2.29453;28921.3
2.30691;28968.4
2.32155;29013.6
2.33521;29057
2.34813;29100.5
2.36045;29144.7
2.37364;29185.2
2.38718;29221
2.40054;29253
2.41386;29282.6
2.42711;29307.1
2.44088;29324.5
2.45296;29342.2
2.46561;29358
2.47774;29372.3
2.4908;29375.6
2.50468;29368.9
2.51881;29352.9
2.5321;29337.9
2.54544;29325
2.55899;29303.4
2.57344;29268.4
2.58719;29238.1
2.60036;29221.8
2.61296;29214.5
2.62601;29206.9
2.63861;29201.8
2.65008;29199.7
2.66246;29200.5
2.67355;29199.4
2.6856;29191.4
2.69846;29177.1
2.71039;29161.5
2.72278;29145.2
2.73504;29124.1
2.7484;29090.4
2.76228;29049.6
2.77589;29004.1
2.78948;28955.1
2.80225;28889.4
2.8163;28817
2.82943;28751.8
2.84256;28694.6
2.85615;28646.3
2.86973;28613.8
2.88319;28592.1
2.89683;28575.9
2.90973;28569.3
2.9218;28585.9
2.93344;28622.5
2.94393;28672.5
2.95368;28731
2.96319;28795.1
2.9732;28864.2
2.9833;28933.1
2.99109;29001.9
3.00035;29072
3.00925;29144.6
3.01688;29217
3.0244;29287.1
3.03251;29355.1
3.04056;29420.8
3.04924;29482.4
3.05748;29541
3.06724;29595.3
3.07478;29645.8
3.08455;29692
3.09404;29736.1
3.10319;29775.8
3.11035;29811.4
3.11661;29844.6
3.1247;29876.9
3.13085;29909.6
3.13816;29939.2
3.14471;29964.7
3.15071;29988
3.15634;30011.4
3.16234;30034.3
3.16765;30053.5
3.17339;30070.6
3.18018;30087.5
3.18496;30102.7
3.19029;30117.8
3.19584;30130.7
3.20093;30142.7
3.20643;30154.9
3.21145;30168.5
3.21713;30182.9
3.22273;30196.4
3.22741;30207.5
3.23273;30218.3
3.23738;30230.9
3.24249;30244.1
3.24726;30255.7
3.25273;30265.4
3.25793;30276
3.26133;30288.3
3.26659;30300.1
3.27084;30311.5
3.27576;30323.1
3.27955;30334.3
3.28441;30347
3.2887;30358.6
3.29334;30369.8
3.2979;30380.2
3.30211;30392.3
3.30678;30404.9
3.31113;30416.5
3.31589;30426.8
3.32018;30438.2
3.32388;30451
3.32798;30465
3.3324;30476.7
3.33621;30485.9
3.34086;30495.5
3.34499;30507.3
3.35068;30520.6
3.35526;30533.3
3.36053;30544.2
3.36578;30553.9
3.37041;30566.5
3.37554;30580.6
3.37959;30592.1
3.38405;30601.7
3.38909;30612.6
3.39323;30626
3.39775;30636.9
3.40261;30646.9
3.40649;30656.8
3.41131;30669.2
3.41696;30681.7
3.42103;30693.2
3.42559;30703.5
3.42946;30715.1
3.43448;30727.4
3.43861;30738.5
3.4437;30748.3
3.44759;30758.1
3.45244;30769
3.45859;30781.2
3.4633;30793.5
3.46798;30804.3
3.4732;30813.8
3.47805;30823.8
3.48218;30836.3
3.48766;30848
3.49216;30858.6
3.49749;30868.9
3.50311;30880
3.5084;30892.2
3.51405;30903.4
3.51905;30913.9
3.52428;30923.3
3.52891;30933.8
3.53364;30947
3.5386;30959
3.54343;30969.4
3.54954;30977.6
3.55554;30988.1
3.56014;30999.3
3.56615;31009.9
3.57024;31019
3.57518;31028.3
3.58039;31039.5
3.58581;31050.9
3.59094;31061.8
3.59679;31073
3.60314;31083.5
3.6093;31095
3.61476;31106.6
3.6198;31117.3
3.62546;31127.2
3.63176;31136.3
3.6378;31148
3.64343;31160.2
3.64916;31170.6
3.6553;31179.7
3.6613;31190.9
3.66803;31203.7
3.6742;31215.4
3.67953;31224.3
3.6865;31232.2
3.69199;31242.2
3.69796;31253.2
3.70509;31263.5
3.71083;31272.9
3.71723;31282.7
3.72378;31294.6
3.7304;31307.5
3.73783;31318.2
3.74463;31325.4
3.75139;31333.1
3.75759;31344.6
3.76463;31357.1
3.77066;31368.1
3.77658;31377.2
3.7835;31387.5
3.78981;31399.4
3.79483;31409.7
3.8003;31418.7
3.80521;31426.5
3.81108;31437.2
3.81634;31450
3.82169;31460.5
3.82783;31468
3.83376;31476.3
3.83865;31487.6
3.84405;31499.5
3.84956;31510.6
3.85476;31519
3.86069;31527.5
3.86611;31538.9
3.87214;31550.2
